Headline,Body ID,Stance,actual,predicted,prob_0,prob_1,prob_2,prob_3
Confusion Surrounds Capture Of “ISIS Leader’s Wife”,530,unrelated,unrelated,unrelated,9.720735e-06,6.9502103e-06,5.3113185e-05,0.99993026
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",986,unrelated,unrelated,unrelated,1.6916529e-06,3.6085066e-07,8.5988444e-07,0.99999714
'No hard evidence' of Isis claims it kidnapped Canadian-Israeli woman Gill Rosenberg,214,unrelated,unrelated,unrelated,9.974569e-06,2.6536761e-06,1.351165e-05,0.9999739
Media Fooled Again? Story Claims 7 of 28 Girls On School Trip Came Home Pregnant,1408,unrelated,unrelated,unrelated,0.0001477353,0.001360867,0.0015604219,0.996931
Is this proof of bigfoot? New 'yeti' video shows giant hairy beast walking through forest,2377,discuss,discuss,discuss,0.23523556,0.06932521,0.6947041,0.0007350585
Apple may launch 12-inch MacBook Air with Retina Display,2509,unrelated,unrelated,unrelated,2.9213227e-06,6.775364e-07,3.226506e-06,0.9999932
'Hairgate': iPhone hit by new social media storm,1787,unrelated,unrelated,unrelated,1.1188075e-05,3.7273014e-06,1.812006e-05,0.999967
Kim Jong-un: Absent North Korean leader is 'recovering from ankle surgery',1103,unrelated,unrelated,unrelated,1.0850787e-06,7.2554684e-07,1.1076095e-06,0.99999714
"Woman detained in Lebanon is not Isis leader’s wife, says Iraq",365,unrelated,unrelated,unrelated,8.044074e-06,2.4685944e-06,1.3605047e-05,0.9999759
Seth Rogen To Play Steve Wozniak In Steve Jobs Biopic,614,discuss,discuss,discuss,0.4459833,0.055902734,0.4975848,0.00052921375
Cannibal mum tries to EAT her own baby shortly after giving birth,867,unrelated,unrelated,unrelated,7.784385e-05,5.028491e-06,0.00092149415,0.9989956
"Islamist Militants 'Steal' 11 Commercial Planes In Libya, Sparking Terror Attack Fears",1574,unrelated,unrelated,unrelated,1.1923573e-06,8.0060477e-07,3.0609073e-07,0.99999774
Mass grave found after 40 students disappear in Mexican protest,983,discuss,discuss,discuss,0.01401485,0.0011380315,0.98436916,0.0004778954
New policy could reduce marijuana possession arrests,2163,discuss,discuss,discuss,0.2509438,0.02461562,0.7243922,4.8386206e-05
Islamic State using 'SCORPION bombs' to terrorise victims,1574,unrelated,unrelated,unrelated,4.5566458e-06,2.0097607e-06,1.3522963e-06,0.99999213
Mystery man slaps shoppers around head for sneezing,171,unrelated,unrelated,unrelated,2.4149464e-05,7.0688543e-07,1.3193663e-05,0.999962
Isilkulskom student has gained superhero powers after shock,1299,unrelated,unrelated,unrelated,2.1934116e-05,5.776222e-06,2.0705422e-05,0.9999516
Female Israeli fighter said abducted by Islamic State  Read more: Female Israeli fighter said abducted by Islamic State,1948,unrelated,unrelated,unrelated,5.5448814e-05,2.6903608e-05,0.023302028,0.97661567
Apple Orders More Than 5 Million Watches for Initial Run,676,unrelated,unrelated,unrelated,0.00011551516,2.6282914e-06,9.367514e-05,0.9997882
Web of confusion as scientists cast doubt on man's claims that a spider burrowed into his stomach through his SCAR,214,unrelated,unrelated,unrelated,1.2080008e-06,6.975235e-07,2.7390502e-06,0.99999535
"No, Banksy Didn't Create That 'Charlie Hebdo' Tribute Cartoon, But That Doesn't Mean You Can't Appreciate It",1720,unrelated,unrelated,unrelated,9.424143e-06,4.091867e-06,1.1016174e-05,0.99997544
"BREAKING: Islamic State, in video, beheads American journalist James Wright Foley who was kidnapped in 2012 -@BNONews",1358,unrelated,unrelated,unrelated,1.433457e-06,1.6402129e-06,2.7622914e-06,0.99999416
Dog found abandoned at Scottish train station with suitcase of belongings,144,unrelated,unrelated,unrelated,0.00050957815,1.7551138e-05,0.00076906517,0.99870384
Did Kim Yo-Jong Take Kim Jong Un’s Role? North Korea Ill Health Rumors Are ‘Fabricated’,1125,unrelated,unrelated,unrelated,2.0911179e-07,3.1279873e-07,4.5696262e-07,0.99999905
Rapper identified as James Foley's executioner: reports,1303,unrelated,unrelated,unrelated,9.876364e-06,1.0936034e-06,2.1635668e-05,0.99996734
"Nigeria Says It Struck A Cease-Fire With Boko Haram, But Are They Talking To The Right Guy?",2314,unrelated,unrelated,unrelated,1.5400168e-06,1.1952546e-06,3.5782775e-06,0.9999937
"Nun gives birth, intends to keep baby",524,unrelated,unrelated,unrelated,2.6429445e-05,4.3485966e-06,1.5993406e-05,0.99995327
Google Grows With $1.6 Billion in California Office Deals,720,unrelated,unrelated,unrelated,2.8996844e-06,5.2795343e-07,2.05462e-06,0.9999945
Jihadi John UNMASKED: Islamic State killer NAMED as west Londoner Mohammed Emwazi,1346,discuss,discuss,discuss,0.09765302,0.0024963042,0.8997651,8.55917e-05
Attorney: New audio reveals pause in gunfire when Michael Brown was shot,1446,discuss,discuss,discuss,0.107190296,0.008194968,0.8845515,6.323401e-05
"CNN Broadcasts Purported Audio Containing Gunshots That Felled Michael Brown Jr.; Leaders, Celebrities Fill Pews At Teen’s Funeral",450,unrelated,unrelated,unrelated,2.9599948e-06,3.8956495e-07,1.6767168e-06,0.999995
"BREAKING: Islamic State, in video, beheads American journalist James Wright Foley who was kidnapped in 2012 -@BNONews",524,unrelated,unrelated,unrelated,4.857916e-07,1.8995662e-07,3.8154516e-07,0.9999989
American Predator Drone Circling Islamic State’s Stronghold,1400,unrelated,unrelated,unrelated,5.7595375e-06,2.205368e-06,5.372976e-06,0.99998665
Kim Jong-Un 'Has Difficulty Walking And Needs About 100 Days To Recuperate',570,unrelated,unrelated,unrelated,2.0435664e-06,1.5162038e-06,5.228821e-06,0.9999912
Lego letter to parents in 1974 on gender equality still resonates 40 years on,2412,unrelated,unrelated,unrelated,4.1328065e-05,2.4193714e-05,5.9735085e-05,0.9998747
"SMALL METEORITE STRIKES NICARAGUA, GOVERNMENT SAYS",731,unrelated,unrelated,unrelated,2.6873682e-05,1.103767e-05,0.0002086367,0.9997534
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",2067,agree,agree,discuss,0.48667946,0.0021964915,0.5108048,0.00031925144
CNN plays chilling audio recording allegedly from Michael Brown shooting: “At least 11 shots”,1916,discuss,discuss,discuss,0.29920647,0.01062614,0.68915004,0.0010173129
Star Wars VII for a New SUMMER Release Date!?,1349,unrelated,unrelated,unrelated,0.00016779428,0.00028773956,0.0021760338,0.99736845
Batmobile Stolen From 'Batman V Superman: Dawn Of Justice' Set? Report Claims That One Of The Batmobile Models Is Missing! Detroit Locals Responsible?,734,unrelated,unrelated,unrelated,4.085951e-05,2.4939466e-06,8.2870145e-05,0.99987376
"Wife, child of Islamic State head Abu Bakr al-Baghdadi held in Lebanon, officials say",2268,discuss,discuss,discuss,0.007015627,0.00070078333,0.9920846,0.00019901925
"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",2377,unrelated,unrelated,unrelated,5.477001e-07,7.6236535e-07,8.7561637e-07,0.99999785
Journalist James Wright Foley reportedly beheaded by ISIS,1948,discuss,discuss,discuss,0.011668928,0.0022471969,0.98604345,4.0436156e-05
Electric shock turns Russian boy into Marvel's Magneto,1372,unrelated,unrelated,unrelated,3.5106314e-06,2.9106766e-06,6.313245e-06,0.99998724
Lebanon confirms holding ISIS chief’s kin,365,unrelated,unrelated,unrelated,3.3302679e-06,6.628497e-07,4.285195e-06,0.9999918
"US Drones, Hunting for ISIS Leader, Seen Flying over Syrian Airspace",1400,unrelated,unrelated,unrelated,1.1871064e-06,3.4791265e-07,7.4891426e-07,0.99999774
"What was fake on the Internet this week: Obama’s peace prize, pumpkin-spice condoms and insane winter snow",1400,agree,agree,discuss,0.39963686,0.0027815886,0.5910301,0.0065514217
Jilted lover chops off his penis after girlfriend dumps him,1799,agree,agree,agree,0.894639,0.022164192,0.083136246,6.049921e-05
Video shows ISIL beheading of photojournalist James Foley,139,unrelated,unrelated,unrelated,7.0861526e-05,3.358177e-05,3.5789126e-05,0.9998597
Apple’s next MacBook could be a 12-inch MacBook Air,1863,unrelated,unrelated,unrelated,1.0236615e-05,4.5226384e-06,1.7694109e-06,0.99998343
ISIS pays tribute to its 'Cub of Baghdadi' child soldier,714,unrelated,unrelated,unrelated,0.0028269773,0.00028890796,0.0502736,0.94661057
"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",169,unrelated,unrelated,unrelated,6.316729e-06,5.0272965e-06,4.794903e-06,0.9999839
Tourist wakes to find strange red trail on his stomach - and discovers a spider has burrowed through his appendix scar and crawled UNDER his skin while on holiday in Bali,2009,unrelated,unrelated,unrelated,1.570723e-07,8.598745e-08,1.8097644e-07,0.9999995
Wife and son of Islamic State leader Abu Bakr al-Baghdadi detained in Lebanon,530,unrelated,unrelated,unrelated,3.918089e-07,6.609383e-07,1.3943577e-06,0.9999975
"Michael Zehaf-Bibeau, slain Ottawa shooter, had criminal record in Quebec, B.C.",1554,agree,agree,discuss,0.15030661,0.00063443993,0.7926927,0.056366272
CNN Plays Alleged Recording of Michael Brown Shooting,2434,discuss,discuss,discuss,0.024154745,0.045580734,0.9279337,0.0023307956
Texas plumber's truck on front line of Syria war,2314,unrelated,unrelated,unrelated,5.2301893e-05,0.00015021866,0.00016690318,0.9996306
Did Kim Yo-Jong Take Kim Jong Un’s Role? North Korea Ill Health Rumors Are ‘Fabricated’,2330,unrelated,unrelated,unrelated,9.690507e-08,2.2291727e-07,1.3699727e-06,0.99999833
Boko Haram denies ceasefire claim by Nigeria's government,1125,unrelated,unrelated,unrelated,3.904148e-06,3.980831e-06,8.204117e-06,0.9999839
Seth Rogen to play Steve Wozniak alongside Christian Bale's Steve Jobs,2272,unrelated,unrelated,unrelated,1.3964756e-06,2.821612e-08,1.5496217e-06,0.999997
Missing American journalist reportedly beheaded by Islamic State ,991,discuss,discuss,discuss,0.008215087,0.0004808783,0.79070765,0.20059635
Shots Heard In Alleged Brown Shooting Recording [AUDIO],450,unrelated,unrelated,unrelated,1.44873175e-05,3.299994e-06,9.107979e-06,0.99997306
God Is A Woman – Resurrected Father Narated,34,unrelated,unrelated,unrelated,9.538812e-05,4.161799e-06,0.00010130972,0.9997992
Watch marine take sniper shot to the head and live,860,unrelated,unrelated,unrelated,2.4031278e-05,2.789286e-05,1.0149403e-05,0.9999379
"North Korean leader Kim Jong Un had ankle surgery, report says",524,unrelated,unrelated,unrelated,3.0353044e-06,1.7848195e-06,1.4788251e-06,0.9999937
Canada probes Michael Zehaf-Bibeau as possible suspect in Ottawa shooting - source,107,unrelated,unrelated,unrelated,3.867825e-06,5.891938e-06,9.462774e-06,0.9999808
New iOS 8 bug can delete all of your iCloud documents,2385,unrelated,unrelated,unrelated,5.286339e-06,1.9068589e-06,1.5481814e-05,0.99997735
Give a homeless man $100 and see what he does with it [Video],1948,unrelated,unrelated,unrelated,1.8511753e-05,2.0173397e-06,0.0009236301,0.9990558
Mohammed Emwazi: Man identified as Isis killer 'Jihadi John' was 'stopped by MI5' while on safari holiday in Africa in 2010,867,discuss,discuss,discuss,0.026830634,0.00035652827,0.9728108,2.0546338e-06
The Story Of The High School Trader Who Made $72 Million Is A Rumor Spun Out Of Control,1125,unrelated,unrelated,unrelated,0.00028271772,0.00018917394,0.0005680514,0.99896
Missing Mexico students not among 28 bodies found in mass grave,1958,unrelated,unrelated,unrelated,9.0353475e-05,1.7579663e-05,0.001038895,0.9988532
Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',1192,discuss,discuss,discuss,0.39776784,0.0019501996,0.6000439,0.00023805865
Eyewitness Says Viral Video of Homeless Man Was Staged,1948,unrelated,unrelated,unrelated,1.2436362e-05,1.0073209e-06,0.00043115177,0.9995554
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,2070,unrelated,unrelated,unrelated,3.9656993e-07,1.961874e-07,1.1144663e-06,0.99999833
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,1125,unrelated,unrelated,unrelated,1.0371253e-06,1.0035984e-06,4.0043105e-06,0.9999939
Abdel Majed Abdel Bary Emerges as Suspect in Foley Beheading,951,discuss,discuss,discuss,0.048736807,0.1121158,0.83711374,0.002033618
"Calm down everyone, Banksy hasn't been arrested: 9 clues that it's a hoax",2362,agree,agree,agree,0.7090975,0.028127441,0.2620669,0.00070812023
Accountant Claims Comcast Got Him Fired From His Job for Reporting a Customer Service Issue,2434,unrelated,unrelated,unrelated,0.00012147326,3.08115e-05,0.0014454358,0.9984023
Michael Phelps’ alleged girlfriend says she was born intersex,570,unrelated,unrelated,unrelated,8.424805e-06,4.3485957e-06,1.6074615e-05,0.99997115
Star Wars 7: JJ Abrams want to move release to summer 2015,1843,discuss,discuss,discuss,0.022612585,0.0071000615,0.9702774,9.9223535e-06
ISIS Getting Ebola,1821,unrelated,unrelated,unrelated,9.460427e-05,1.2197751e-06,0.00010617337,0.999798
